V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,xrf,xrs,xs1,xs2,xk1,Jrelnp,Jrelp,
-87.971730,0.017141,0.000072,6.889404,6.889468,144.980435,144.980412,1.574900,1.507073,0.000073,0.007366,0.697061,0.697060,0.697045,0.453778,0.696993,0.000189,0.452892,0.196239,0.001003,0.999552,0.422509,0.000511,0.999552,0.460263,0.000000,1.000000,0.812603,1.000000,0.998166,0.999679,1.000000,1.000000,0.001479,0.000045,0.602083,0.406239,0.000193,0.996767,0.000000,0.000000,0.020366
-87.975311,0.017631,0.000072,6.856811,6.856874,145.015721,145.015699,1.568791,1.495850,0.000073,0.007364,0.697186,0.697184,0.697166,0.453922,0.697090,0.000189,0.446568,0.189941,0.001003,0.999552,0.409956,0.000511,0.999552,0.446460,0.000000,1.000000,0.808367,1.000000,0.997990,0.999641,1.000000,1.000000,0.001444,0.000063,0.613065,0.408567,0.000193,0.996766,0.000000,0.000000,0.019944
-87.975380,0.018043,0.000071,6.877827,6.877890,144.999560,144.999538,1.563760,1.486276,0.000073,0.007364,0.697188,0.697186,0.697165,0.453924,0.697061,0.000189,0.441153,0.184883,0.001003,0.999552,0.399751,0.000511,0.999552,0.435274,0.000000,1.000000,0.803526,1.000000,0.997799,0.999599,1.000000,1.000000,0.001418,0.000085,0.621924,0.411500,0.000193,0.996766,0.000000,0.000000,0.018777
-87.974769,0.018217,0.000071,6.885767,6.885830,144.991425,144.991402,1.565784,1.487361,0.000073,0.007364,0.697167,0.697164,0.697143,0.453899,0.697035,0.000189,0.440416,0.184219,0.001003,0.999552,0.398428,0.000511,0.999552,0.433820,0.000000,1.000000,0.802808,1.000000,0.997772,0.999594,1.000000,1.000000,0.001418,0.000088,0.623088,0.411909,0.000193,0.996767,0.000000,0.000000,0.018728
-87.974426,0.018194,0.000072,6.880344,6.880407,144.992357,144.992335,1.569107,1.491185,0.000073,0.007364,0.697155,0.697153,0.697132,0.453885,0.697028,0.000189,0.441054,0.184802,0.001003,0.999552,0.399569,0.000511,0.999552,0.435074,0.000000,1.000000,0.802828,1.000000,0.997781,0.999595,1.000000,1.000000,0.001429,0.000085,0.622077,0.412910,0.000193,0.996767,0.000000,0.000000,0.019918
-87.972242,0.017560,0.000072,6.900917,6.900981,144.975369,144.975346,1.581594,1.511527,0.000074,0.007366,0.697079,0.697077,0.697062,0.453798,0.697003,0.000189,0.451056,0.194374,0.001003,0.999552,0.418661,0.000511,0.999552,0.456054,0.000000,1.000000,0.810159,1.000000,0.998089,0.999662,1.000000,1.000000,0.001485,0.000050,0.605446,0.408781,0.000193,0.996767,0.000000,0.000000,0.017775
-87.972706,0.017057,0.000072,6.870769,6.870833,144.994809,144.994787,1.573821,1.505953,0.000073,0.007366,0.697095,0.697094,0.697079,0.453818,0.697026,0.000189,0.452671,0.196001,0.001003,0.999552,0.421977,0.000511,0.999552,0.459682,0.000000,1.000000,0.812258,1.000000,0.998150,0.999673,1.000000,1.000000,0.001479,0.000045,0.602461,0.407653,0.000193,0.996767,0.000000,0.000000,0.021737
-87.976183,0.018129,0.000071,6.867551,6.867614,145.009129,145.009107,1.563072,1.484558,0.000072,0.007363,0.697216,0.697213,0.697192,0.453956,0.697080,0.000189,0.439808,0.183658,0.001003,0.999552,0.397344,0.000511,0.999552,0.432614,0.000000,1.000000,0.802751,1.000000,0.997761,0.999590,1.000000,1.000000,0.001414,0.000091,0.624008,0.412089,0.000193,0.996766,0.000000,0.000000,0.019048
-87.973596,0.017237,0.000072,6.903511,6.903575,144.978637,144.978614,1.570050,1.500240,0.000073,0.007365,0.697126,0.697124,0.697109,0.453853,0.697047,0.000189,0.450262,0.193566,0.001003,0.999552,0.416919,0.000511,0.999552,0.454175,0.000000,1.000000,0.809384,1.000000,0.998055,0.999655,1.000000,1.000000,0.001463,0.000052,0.606909,0.408987,0.000193,0.996767,0.000000,0.000000,0.016641
-87.972271,0.017268,0.000072,6.911533,6.911597,144.969227,144.969204,1.575613,1.506872,0.000073,0.007366,0.697080,0.697078,0.697064,0.453800,0.697008,0.000189,0.452032,0.195358,0.001003,0.999552,0.420586,0.000511,0.999552,0.458185,0.000000,1.000000,0.810980,1.000000,0.998118,0.999670,1.000000,1.000000,0.001478,0.000047,0.603751,0.407617,0.000193,0.996767,0.000000,0.000000,0.016733
-87.971446,0.017095,0.000072,6.886675,6.886739,144.979869,144.979846,1.576495,1.509034,0.000074,0.007367,0.697052,0.697050,0.697036,0.453767,0.696985,0.000189,0.453401,0.196765,0.001003,0.999552,0.423528,0.000511,0.999552,0.461385,0.000000,1.000000,0.812705,1.000000,0.998173,0.999679,1.000000,1.000000,0.001486,0.000043,0.601148,0.406955,0.000193,0.996767,0.000000,0.000000,0.021281
-87.972767,0.017768,0.000072,6.882789,6.882852,144.984066,144.984044,1.574228,1.500636,0.000073,0.007366,0.697097,0.697095,0.697078,0.453819,0.697000,0.000189,0.446264,0.189678,0.001003,0.999552,0.409243,0.000511,0.999552,0.445718,0.000000,1.000000,0.806240,1.000000,0.997930,0.999627,1.000000,1.000000,0.001457,0.000065,0.613619,0.411888,0.000193,0.996767,0.000000,0.000000,0.021378
